Printing the average test results after 10 repeats:

tree   n    test      h1     h2     h3    it1   st1a   st1b    dt1   st2a   st2b    it2   st3a   st3b    dt2  total
-------------------------------------------------------------------------------------------------------------------
RBT: 100000:  A:      30     19     20     16     13     31      6      5     23     14     12     28     26    178
AVL: 100000:  A:      16     16     18     12     12     25      5      5     23     13     12     28     25    163
AA:  100000:  A:      21     20     21     16     12     26     18      6     28     19     14     32     58    234
RBT: 100000:  B:      28     18     20     19     16     36     14      5     25     15     14     29     29    206
AVL: 100000:  B:      18     18     19     17     13     30     14      5     25     13     13     30     28    192
AA:  100000:  B:      23     20     22     24     13     32     31      6     27     18     14     32     56    255
BST: 100000:  B:    1062    543    545     27     34     71     22     13     56     18     30     64     36    374
RBT: 100000:  C:      19     18     19     25     13     27      9      7     27     14     13     28     27    194
AVL: 100000:  C:      19     18     19     22     11     27      8      5     26     14     13     31     28    189
AA:  100000:  C:      22     21     22     30     13     31     20      5     25     18     13     31     57    248
BST: 100000:  C:      40     37     39     22     17     38      9      9     39     14     21     44     28    245
RBT: 100000:  D:      30     17     18     16     13     31     13      4     21     13     12     26     26    178
AVL: 100000:  D:      16     16     18     11     11     26     12      5     22     12     12     27     25    168
AA:  100000:  D:      21     21     22     16     11     25     29      6     26     17     13     32     55    235
RBT: 100000:  E:      28     20     20     19     15     36      7      6     27     14     13     30     28    197
AVL: 100000:  E:      18     17     19     15     13     30      7      5     26     13     12     29     26    181
AA:  100000:  E:      23     21     22     21     12     29     18      6     27     17     14     32     56    236
BST: 100000:  E:    1068    549    551     28     36     74     12     14     60     19     32     68     38    386
RBT: 100000:  F:      19     18     19     25     12     28     15      5     25     14     13     28     27    196
AVL: 100000:  F:      19     17     19     22     11     27     14      5     26     15     13     29     26    192
AA:  100000:  F:      22     20     22     30     12     30     30      5     24     17     12     30     55    250
BST: 100000:  F:      40     36     39     21     16     38     14      9     40     15     21     44     29    251
RBT: 200000:  A:      32     21     21     35     39    100     13     15     71     42     41     88     82    529
AVL: 200000:  A:      17     17     19     25     38     80     13     16     67     40     40     89     79    489
AA:  200000:  A:      22     21     23     34     36     79     40     16     75     54     43     97    164    642
RBT: 200000:  B:      30     20     21     43     48    118     44     16     70     43     42     91     88    608
AVL: 200000:  B:      20     19     20     37     42     96     46     19     82     44     46    105     89    610
AA:  200000:  B:      25     22     23     52     45    107     93     18     85     58     46    109    176    793
BST: 200000:  B:    1228    631    633     63    104    214     68     41    174     57     92    197    106   1120
RBT: 200000:  C:      20     19     20     67     40     85     25     18     78     47     44     94     84    586
AVL: 200000:  C:      20     19     20     62     38     89     23     19     88     49     46    105     91    614
AA:  200000:  C:      23     22     23     89     42    104     49     18     81     58     44     97    161    748
BST: 200000:  C:      42     39     41     55     57    121     25     28    128     42     69    152     82    763
RBT: 200000:  D:      32     18     19     35     42    105     42     15     69     42     42     89     90    575
AVL: 200000:  D:      17     17     19     26     42     84     40     16     68     39     40     89     80    528
AA:  200000:  D:      22     22     23     35     37     80     84     18     81     64     53    110    173    739
RBT: 200000:  E:      30     21     22     47     53    125     17     17     77     44     43     95     86    609
AVL: 200000:  E:      20     19     20     39     41     96     17     19     88     46     47    111     99    608
AA:  200000:  E:      24     23     24     53     44    114     47     22    101     65     56    133    193    833
BST: 200000:  E:    1459    740    742     69    101    230     30     45    191     55     90    200    109   1124
RBT: 200000:  F:      20     20     20     66     39     86     49     18     84     49     46     98     89    628
AVL: 200000:  F:      20     19     20     63     41     92     45     16     76     44     44     95     85    603
AA:  200000:  F:      23     22     24     82     41     99     93     16     74     56     43    101    161    769
BST: 200000:  F:      42     39     42     54     51    117     45     27    120     40     67    150     90    764
RBT: 300000:  A:      33     21     22     53     70    165     19     30    144     85     82    193    169   1015
AVL: 300000:  A:      18     18     20     39     70    157     19     32    128     72     74    172    157    926
AA:  300000:  A:      25     23     24     55     69    150     61     32    148    101     81    187    298   1186
RBT: 300000:  B:      31     21     22     73     94    228     84     30    140     86     80    173    159   1152
AVL: 300000:  B:      20     19     21     58     75    165     78     31    140     75     80    172    152   1029
AA:  300000:  B:      26     23     25     77     74    181    158     32    153     99     82    205    317   1382
BST: 300000:  B:    1804    929    931     99    178    365    122     72    299     95    164    343    186   1927
RBT: 300000:  C:      21     20     21    116     66    152     40     33    153     93     83    183    171   1095
AVL: 300000:  C:      21     20     21    110     69    158     39     33    152     84     89    187    156   1081
AA:  300000:  C:      24     23     24    149     74    181     74     31    150    101     78    178    306   1324
BST: 300000:  C:      45     41     44    100    103    223     41     53    231     79    137    293    167   1431
RBT: 300000:  D:      33     19     20     54     73    174     73     28    123     76     75    162    145    988
AVL: 300000:  D:      18     18     20     38     65    147     68     29    125     71     73    163    145    929
AA:  300000:  D:      25     23     24     52     65    148    152     31    142     98     83    197    301   1273
RBT: 300000:  E:      31     22     23     72     95    231     26     32    144     83     82    177    154   1099
AVL: 300000:  E:      20     19     21     57     72    164     27     33    153     78     81    174    153    995
AA:  300000:  E:      25     24     25     81     80    187     65     35    162    101     90    215    302   1322
BST: 300000:  E:    1472    749    751    101    179    373     43     73    300     96    165    348    180   1861
RBT: 300000:  F:      21     20     21    112     69    160     87     34    144     85     81    181    161   1119
AVL: 300000:  F:      21     19     21    109     72    166     84     32    143     81     80    176    163   1110
AA:  300000:  F:      24     23     24    147     74    179    165     30    142     99     78    182    292   1392
BST: 300000:  F:      44     41     43     98    100    217     75     51    226     78    131    279    151   1409
RBT: 400000:  A:      34     22     23     73    109    277     27     45    191    110    110    245    223   1413
AVL: 400000:  A:      18     18     20     51     97    205     26     44    187    107    105    236    217   1280
AA:  400000:  A:      23     23     24     72     97    214     86     46    209    144    118    266    441   1698
RBT: 400000:  B:      32     21     22    105    138    341    123     46    206    117    118    261    234   1691
AVL: 400000:  B:      21     20     21     79    110    249    117     47    213    114    116    267    228   1544
AA:  400000:  B:      26     23     25    114    113    275    233     50    232    148    130    307    440   2044
BST: 400000:  B:    1684    848    851    127    259    544    153    106    446    141    247    526    268   2821
RBT: 400000:  C:      22     21     22    176    105    227     56     50    222    126    118    264    248   1597
