Printing the average test results after 25 repeats:

tree   n    test      h1     h2     h3    it1   st1a   st1b    dt1   st2a   st2b    it2   st3a   st3b    dt2  total
-------------------------------------------------------------------------------------------------------------------
RBT: 1000000: A:      36     25     26    205    380    856     75    173    759    401    425    989    838   5105
AVL: 1000000: A:      19     19     21    141    366    811     74    160    703    383    395    882    818   4738
AA:  1000000: A:      25     28     26    212    400    937    244    187    874    520    456   1067   1603   6503
RBT: 1000000: B:      35     23     24    325    580   1399    489    203    814    438    448    978    885   6563
AVL: 1000000: B:      23     21     23    268    424    975    440    206    884    414    511   1013    886   6026
AA:  1000000: B:      29     26     27    402    502   1210    858    206    972    540    571   1266   1725   8256
BST: 1000000: B:    2630   1346   1348    415   1028   2114    630    441   1849    551    989   2079   1104  11204
RBT: 1000000: C:      23     22     23    726    464    946    187    214    916    483    514   1176    956   6586
AVL: 1000000: C:      23     22     23    734    483   1038    173    227   1129    500    506   1126    933   6854
AA:  1000000: C:      27     26     26    922    460   1111    300    199    952    560    469   1106   1634   7716
BST: 1000000: C:      49     46     49    622    643   1425    177    356   1552    481    869   1811    971   8910
RBT: 1000000: D:      36     20     22    205    363    869    395    158    699    392    384    845    833   5147
AVL: 1000000: D:      19     19     21    140    358    762    365    170    703    380    392    890    808   4973
AA:  1000000: D:      25     25     27    205    388    934    785    181    857    512    473   1111   1647   7097
RBT: 1000000: E:      35     24     25    320    535   1326    101    186    811    428    443    965    869   5990
AVL: 1000000: E:      22     21     23    262    423    979    108    196    891    420    448   1009    843   5582
AA:  1000000: E:      29     27     28    361    450   1167    263    217   1032    546    507   1297   1675   7519
BST: 1000000: E:    2643   1342   1345    442   1052   2161    167    454   1914    580   1043   2160   1114  11092
RBT: 1000000: F:      23     22     23    698    391    875    475    195    845    462    459   1004    917   6325
AVL: 1000000: F:      23     21     23    676    422    992    480    215    919    447    466   1063    889   6573
AA:  1000000: F:      27     25     26    897    457   1104    896    191    921    568    482   1160   1612   8292
BST: 1000000: F:      48     45     47    631    660   1455    476    363   1604    497    869   1834    961   9352
